0,0,1.000
0,0.0159,0.9921
0,0.0317,0.9841
0,0.0476,0.9762
0,0.0635,0.9683
0,0.0794,0.9603
0,0.0952,0.9524
0,0.1111,0.9444
0,0.127,0.9365
0,0.1429,0.9286
0,0.1587,0.9206
0,0.1746,0.9127
0,0.1905,0.9048
0,0.2063,0.8968
0,0.2222,0.8889
0,0.2381,0.881
0,0.254,0.873
0,0.2698,0.8651
0,0.2857,0.8571
0,0.3016,0.8492
0,0.3175,0.8413
0,0.3333,0.8333
0,0.3492,0.8254
0,0.3651,0.8175
0,0.381,0.8095
0,0.3968,0.8016
0,0.4127,0.7937
0,0.4286,0.7857
0,0.4444,0.7778
0,0.4603,0.7698
0,0.4762,0.7619
0,0.4921,0.754
0,0.5079,0.746
0,0.5238,0.7381
0,0.5397,0.7302
0,0.5556,0.7222
0,0.5714,0.7143
0,0.5873,0.7063
0,0.6032,0.6984
0,0.619,0.6905
0,0.6349,0.6825
0,0.6508,0.6746
0,0.6667,0.6667
0,0.6825,0.6587
0,0.6984,0.6508
0,0.7143,0.6429
0,0.7302,0.6349
0,0.746,0.627
0,0.7619,0.619
0,0.7778,0.6111
0,0.7937,0.6032
0,0.8095,0.5952
0,0.8254,0.5873
0,0.8413,0.5794
0,0.8571,0.5714
0,0.873,0.5635
0,0.8889,0.5556
0,0.9048,0.5476
0,0.9206,0.5397
0,0.9365,0.5317
0,0.9524,0.5238
0,0.9683,0.5159
0,0.9841,0.5079
0,1,0.5
